Sample_Name,Pig,Diet,Time_Point,Diet_By_Time_Point,Acidobacteria,Actinobacteria,Apicomplexa,Aquificae,Ascomycota,Bacillariophyta,Bacteroidetes,Basidiomycota,Candidatus Poribacteria,Chlamydiae,Chlorobi,Chloroflexi,Chlorophyta,Chrysiogenetes,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Hemichordata,Korarchaeota,Lentisphaerae,Microsporidia,Nanoarchaeota,Nematoda,Nitrospirae,Placozoa,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermotogae,Verrucomicrobia,unclassified (derived from Bacteria),unclassified (derived from Eukaryota),unclassified (derived from Viruses),unclassified (derived from other sequences)
ShotgunWGS-ControlPig6GutMicrobiome-Day14,6,Control,Day 14,Control Day 14,7.41E-04,0.04813358,5.95E-05,5.03E-04,3.84E-04,2.71E-05,0.367095565,6.18E-05,6.70E-06,1.42E-04,0.001259844,0.002020802,9.53E-05,8.53E-05,1.67E-04,0.002277461,3.85E-04,6.39E-04,3.14E-04,1.63E-04,0.00339506,0.001228664,0.530827147,0.003955535,5.44E-05,6.70E-06,1.93E-05,1.97E-04,1.26E-05,1.03E-06,4.59E-05,1.42E-04,1.75E-05,3.92E-04,0.027137033,0.002968326,0.001147492,7.12E-04,1.44E-05,0.001292056,8.27E-04,3.08E-04,3.25E-04,3.98E-04,1.24E-05
ShotgunWGS-ControlPig8GutMicrobiome-Day0,8,Control,Day 0,Control Day 0,8.85E-04,0.065980726,9.14E-05,5.37E-04,5.23E-04,4.38E-05,0.331276669,9.64E-05,1.17E-05,1.97E-04,0.001445895,0.002288481,1.36E-04,9.90E-05,2.15E-04,0.003240824,4.75E-04,8.54E-04,3.70E-04,2.40E-04,0.004565534,0.001657792,0.529343602,0.005057419,8.09E-05,4.29E-06,2.31E-05,4.36E-04,2.10E-05,1.19E-06,6.31E-05,1.90E-04,1.62E-05,6.27E-04,0.036831401,0.004157693,0.001783025,8.88E-04,1.90E-05,0.0016916,0.001495655,4.10E-04,9.97E-04,6.25E-04,7.86E-06
ShotgunWGS-ControlPig3GutMicrobiome-Day14,3,Control,Day 14,Control Day 14,6.90E-04,0.032672688,4.92E-05,4.25E-04,3.32E-04,3.34E-05,0.326381652,5.13E-05,5.44E-06,1.43E-04,0.001157419,0.001967276,9.38E-05,7.02E-05,1.65E-04,0.002920354,3.68E-04,6.01E-04,2.87E-04,1.81E-04,0.003312462,0.001291057,0.587025818,0.003718038,6.24E-05,4.14E-06,1.35E-05,2.00E-04,1.45E-05,1.04E-06,3.78E-05,1.46E-04,8.03E-06,4.07E-04,0.02716245,0.002828672,0.001074284,6.46E-04,1.53E-05,0.00130841,9.68E-04,2.97E-04,3.28E-04,5.19E-04,1.61E-05
ShotgunWGS-TomatoPig14GutMicrobiome-Day7,14,Tomato,Day 7,Tomato Day 7,7.32E-04,0.032920163,1.40E-04,5.38E-04,5.59E-04,5.41E-05,0.346149813,9.49E-05,1.41E-05,1.86E-04,0.001302426,0.002370997,1.53E-04,9.49E-05,2.73E-04,0.002851189,4.52E-04,8.05E-04,3.53E-04,2.99E-04,0.006906602,0.001456387,0.523117433,0.004614665,5.08E-05,4.16E-06,3.00E-05,4.09E-04,2.00E-05,4.99E-06,1.15E-04,2.01E-04,1.58E-05,4.49E-04,0.059739315,0.004688733,0.001556253,0.001075229,3.08E-05,0.001662777,0.001047766,9.66E-04,5.51E-04,8.41E-04,9.57E-05
ShotgunWGS-ControlPig5GutMicrobiome-Day7,5,Control,Day 7,Control Day 7,6.56E-04,0.046344425,5.57E-05,4.62E-04,3.84E-04,3.61E-05,0.259996634,5.93E-05,7.16E-06,1.64E-04,0.001248592,0.002034538,1.26E-04,8.89E-05,2.12E-04,0.003422152,3.80E-04,6.82E-04,2.92E-04,2.17E-04,0.004326608,0.001315336,0.625028366,0.004317167,6.87E-05,2.60E-06,2.15E-05,4.36E-04,2.60E-05,1.30E-06,5.24E-05,1.57E-04,8.79E-06,5.45E-04,0.037176794,0.003502244,0.00141887,7.52E-04,1.79E-05,0.001473892,0.00112064,4.31E-04,4.46E-04,4.80E-04,4.23E-06
ShotgunWGS-TomatoPig18GutMicrobiome-Day7,18,Tomato,Day 7,Tomato Day 7,7.72E-04,0.101695267,5.67E-05,3.69E-04,4.48E-04,3.59E-05,0.387259301,6.68E-05,9.54E-06,1.25E-04,0.001232942,0.001825853,1.23E-04,5.10E-05,1.54E-04,0.004184598,2.50E-04,6.18E-04,2.37E-04,1.29E-04,0.002787862,0.001161703,0.445352852,0.002842834,1.17E-04,1.12E-06,1.40E-05,1.62E-04,1.80E-05,5.61E-07,7.52E-05,1.37E-04,1.63E-05,6.15E-04,0.038924053,0.002652115,8.31E-04,5.13E-04,1.46E-05,9.59E-04,0.001324375,8.03E-04,2.91E-04,7.11E-04,3.31E-05
ShotgunWGS-TomatoPig16GutMicrobiome-Day7,16,Tomato,Day 7,Tomato Day 7,7.18E-04,0.026644039,1.02E-04,4.08E-04,7.87E-04,3.66E-05,0.377868568,9.10E-05,9.60E-06,1.64E-04,0.001372834,0.001885931,1.32E-04,5.99E-05,1.92E-04,0.002301623,4.00E-04,6.87E-04,2.79E-04,2.28E-04,0.004096093,0.001472069,0.532490243,0.004233285,4.66E-05,5.49E-06,1.97E-05,2.47E-04,1.87E-05,3.66E-06,6.86E-05,1.44E-04,1.65E-05,4.09E-04,0.032104277,0.003733449,0.001503623,7.94E-04,2.74E-05,0.001439143,0.001020708,6.01E-04,5.32E-04,5.78E-04,2.74E-05
ShotgunWGS-ControlPig10GutMicrobiome-Day7,10,Control,Day 7,Control Day 7,6.47E-04,0.05447672,1.43E-04,4.49E-04,3.80E-04,3.24E-05,0.37762692,5.53E-05,1.15E-05,1.19E-04,0.001103264,0.001857552,1.39E-04,7.18E-05,1.37E-04,0.002283303,3.76E-04,5.76E-04,2.80E-04,1.59E-04,0.002759905,0.001378956,0.499342927,0.003318766,4.79E-05,5.48E-06,1.20E-05,1.44E-04,1.74E-05,0,1.09E-04,1.37E-04,1.05E-05,2.90E-04,0.044197369,0.00260137,8.70E-04,5.64E-04,1.25E-05,0.001144144,7.94E-04,3.73E-04,4.79E-04,4.39E-04,2.39E-05
ShotgunWGS-ControlPig2GutMicrobiome-Day0,2,Control,Day 0,Control Day 0,8.53E-04,0.043646776,1.45E-04,5.74E-04,5.49E-04,3.70E-05,0.406136913,1.03E-04,1.15E-05,1.99E-04,0.001541908,0.002246882,1.52E-04,8.27E-05,2.23E-04,0.003003052,5.20E-04,8.10E-04,3.55E-04,2.43E-04,0.004503893,0.001811577,0.466449818,0.004789441,6.93E-05,4.65E-06,1.53E-05,4.92E-04,1.45E-05,5.48E-07,7.47E-05,2.01E-04,1.59E-05,5.29E-04,0.048144098,0.004143603,0.001813768,7.58E-04,2.14E-05,0.001693854,0.001315769,4.28E-04,7.57E-04,4.94E-04,2.55E-05
ShotgunWGS-TomatoPig18GutMicrobiome-Day0,18,Tomato,Day 0,Tomato Day 0,6.81E-04,0.044028162,4.44E-05,3.72E-04,3.15E-04,2.64E-05,0.377927379,5.44E-05,5.75E-06,1.39E-04,0.001122186,0.001921619,9.83E-05,6.09E-05,1.63E-04,0.001960559,2.90E-04,6.08E-04,2.98E-04,1.87E-04,0.00351526,0.001351118,0.518944142,0.003531201,4.44E-05,2.61E-06,1.78E-05,1.71E-04,1.70E-05,3.92E-06,2.51E-05,1.29E-04,6.79E-06,3.15E-04,0.033470623,0.003225436,9.86E-04,5.45E-04,1.52E-05,0.00120503,8.54E-04,2.90E-04,3.28E-04,0.000667196,3.53E-05
